"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.55042,34.8212830357901,49.3200163729994
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.55208666666667,40.2537886475503,49.2539075266228
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.55375333333333,46.3275419947194,48.0864437630701
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.55542,52.7574002014121,45.4014568258672
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.55708666666667,58.9822704710926,40.8574137442651
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.55875333333333,64.1766303856253,34.3977884656474
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.56042,67.4515612631088,26.463576572267
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.56208666666667,68.2309307609045,18.0102998876012
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.56375333333333,66.5676460847463,10.2009068208252
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.56542,63.1252082536032,3.94307674400231
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.56708666666667,58.8440466384883,-0.388676976511659
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.56875333333333,54.5790312274501,-2.91238706295397
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.57042,50.9196607850271,-4.02769668735325
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.57208666666667,48.186328316928,-4.22331188843809
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.57375333333333,46.4990793432534,-3.97590011649313
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.57542,45.8394786011862,-3.72261990495992
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.57708666666667,46.0750213094443,-3.86342156718132
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.57875333333333,46.9482500896398,-4.75285010144585
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.58042,48.0561736634676,-6.65155801468368
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.58208666666667,48.8684511120408,-9.63169297707424
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.58375333333333,48.8355328458886,-13.4814541385205
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.58542,47.5791582918547,-17.7048425111646
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.58708666666667,45.0535600753666,-21.6783853168222
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.58875333333333,41.5448065445477,-24.8883511560646
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.59042,37.5085963720345,-27.0853962884983
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.59208666666667,33.379304787609,-28.280074626573
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.59375333333333,29.4625697813082,-28.6397242513875
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.59542,25.9219262696641,-28.3811604920805
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.59708666666667,22.8139265247925,-27.704796952949
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.59875333333333,20.1310376934998,-26.7690826677946
100,0,0,33.3025,33.5591,0,1.524,15.07,19,94.2116,0.65,2.05,95.6786,1.60042,17.8344619976554,-25.6885059755819
