"Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
1.50042,1.04874643820969,17.1129683864687
1.50542,1.15881014627887,17.6656242736333
1.51042,1.28707906075724,18.2700674660746
1.51542,1.43776898137624,18.9345066574791
1.52042,1.61638886336462,19.6689580064642
1.52542,1.83024731624459,20.4857578238412
1.53042,2.08920595570302,21.4002515985151
1.53542,2.40682643569363,22.4317275394614
1.54042,2.80216289646867,23.6046876845028
1.54542,3.30264520743947,24.9505755630754
1.55042,3.94886814712603,26.51008583133
1.55542,4.80283266088045,28.33609409388
1.56042,5.96267831023945,30.4968139598874
1.56542,7.59006590891788,33.0771707207306
1.57042,9.96283645127527,36.1706755819513
1.57542,13.5774939253447,39.8340349606962
1.58042,19.3349995554594,43.9065148198478
1.58542,28.7404941257112,47.3741102964556
1.59042,43.144504576997,46.6389061854087
1.59542,58.3018985594328,34.8977972020424
1.60042,60.6993219625561,15.3101553110448
1.60542,52.1167598556142,4.86449225158903
1.61042,47.330622862855,3.98355745853628
1.61542,50.4409882934348,2.46584372083168
1.62042,54.8876090394263,-7.90217971317759
1.62542,48.9942819478793,-22.6268764619223
1.63042,35.7782634103412,-29.3707597489227
1.63542,24.5861795602378,-28.710281784183
1.64042,17.2425716156599,-25.5117445712488
1.64542,12.596368250128,-22.0332040825186
1.65042,9.5742015540036,-18.9133879250027
