"Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
1.50042,2.43427192595025,22.6894516146239
1.50542,2.84485758920178,23.9270447289367
1.51042,3.36754284903962,25.3531175041969
1.51542,4.04679736084019,27.0136039468548
1.52042,4.95122815348911,28.9688478054129
1.52542,6.19073757951463,31.297769885961
1.53042,7.94898880241123,34.1003952548627
1.53542,10.5472295782562,37.4897621598199
1.54042,14.5719416872405,41.5390717444402
1.54542,21.1139021932002,46.0572428137508
1.55042,32.030344904109,49.7576649929238
1.55542,48.8370215160739,47.9467281143619
1.56042,65.0990888929351,32.3830269332521
1.56542,64.5003040371165,10.0045980212454
1.57042,53.6742987741332,0.428345622002787
1.57542,49.1365592364794,0.117933362165852
1.58042,52.6016419179809,-3.23782268879356
1.58542,53.6483883673973,-16.1098340825332
1.59042,43.1752704802602,-28.1960586996742
1.59542,29.8761530258017,-30.7814257343499
1.60042,20.3896170788794,-28.2163473198201
1.60542,14.4533328765707,-24.5153555386934
1.61042,10.7106889672651,-21.0252436463178
1.61542,8.25142862747189,-18.0281461826214
1.62042,6.56216083100212,-15.5096149689907
1.62542,5.35496553885624,-13.3923926765577
1.63042,4.46279031700458,-11.5987621956261
1.63542,3.78455752217206,-10.0641983004352
1.64042,3.25657034991827,-8.7379557891225
1.64542,2.83718475832495,-7.58068857033864
1.65042,2.49827561893086,-6.56186422527568
