"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.55042,35.5098489462042,50.7069172821982
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.55208666666667,41.0556765075207,50.7046339627422
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.55375333333333,47.2736996843789,49.5945878114452
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.55542,53.886048009489,46.947405730934
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.55708666666667,60.3332550493734,42.3992517861212
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.55875333333333,65.7763236060286,35.8646141963398
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.56042,69.2898203094493,27.7616996609408
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.56208666666667,70.2442877504592,19.0499228856715
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.56375333333333,68.6477439655391,10.9325584906223
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.56542,65.1525627532349,4.37775923721071
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.56708666666667,60.723416538701,-0.188634576793444
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.56875333333333,56.2555730226765,-2.85875048266114
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.57042,52.3760183207763,-4.02823825390581
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.57208666666667,49.4326003980147,-4.19184966013203
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.57375333333333,47.5656928412854,-3.83298030083268
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.57542,46.7772955247127,-3.39318983481643
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.57708666666667,46.9627758418655,-3.2783296384107
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.57875333333333,47.9032834929958,-3.86116593893372
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.58042,49.2377274239626,-5.44858252007381
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.58208666666667,50.4558626254419,-8.19691150632439
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.58375333333333,50.9697540720748,-11.9999996474817
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.58542,50.2883687890964,-16.4358001474535
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.58708666666667,48.2187930051828,-20.8665484473992
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.58875333333333,44.9426484223184,-24.674503230507
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.59042,40.8998981367961,-27.4770898897913
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.59208666666667,36.5803591782206,-29.1866811881732
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.59375333333333,32.3686624719467,-29.9296463282283
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.59542,28.4954587858894,-29.9254256110003
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.59708666666667,25.0607026080519,-29.3978575600413
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.59875333333333,22.0792750891297,-28.5332053080473
100,0,0,33.2946,33.5617,0,1.524,15.07,19,94.3328,0.65,2.05,95.7743,1.60042,19.5208087176833,-27.4703215252359
