"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Phi [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-137,-9.25507632358381,-11.329499014177
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-136,-9.3997915668949,-11.5754433043625
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-135,-9.55832806776527,-11.8561125019308
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-134,-9.73140863320444,-12.1719020237033
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-133,-9.91976321276543,-12.5224537346196
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-132,-10.12413460444,-12.9061847898396
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-131,-10.3452845447413,-13.3195828806802
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-130,-10.5840002967431,-13.7561903605514
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-129,-10.8411018683327,-14.2052271256266
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-128,-11.1174500153111,-14.6499217939547
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-127,-11.413955212066,-15.0659253477153
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-126,-11.731587808539,-15.4207425038287
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-125,-12.0713896389138,-15.6757633257413
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-124,-12.4344874085258,-15.7924379087334
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-123,-12.8221082658758,-15.7422003322602
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-122,-13.2355980731324,-15.5160881482425
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-121,-13.6764430306639,-15.1281309337281
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-120,-14.1462955025375,-14.6100889249693
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-119,-14.6470051502081,-14.001231108092
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-118,-15.1806568396197,-13.3390608463098
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-117,-15.7496172857055,-12.65417605551
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-116,-16.3565931031376,-11.9690017472128
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-115,-17.0047039442353,-11.2987158019809
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-114,-17.6975758838425,-10.6529146881417
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-113,-18.439462414567,-10.0372347760992
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-112,-19.2354037708929,-9.45464739503939
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-111,-20.0914405337669,-8.90639846117798
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-110,-21.0149058528147,-8.39265470123294
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-109,-22.0148344757112,-7.91293402655965
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-108,-23.102550461779,-7.46638618210733
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-107,-24.2925375965671,-7.05197286369447
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-106,-25.6037749951867,-6.66858159428653
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-105,-27.0618745189858,-6.31509645553285
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-104,-28.7026791013987,-5.99044094466785
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-103,-30.5787085510104,-5.69360295310749
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-102,-32.7716366511924,-5.42364837756467
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-101,-35.4189327144003,-5.17972759360003
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-100,-38.7781183685204,-4.96107753561455
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-99,-43.399369989432,-4.76702116072136
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-98,-50.217755011221,-4.59696544517421
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-97,-50.8929824171785,-4.45039865281459
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-96,-45.5699164073055,-4.32688734862156
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-95,-42.4770151011766,-4.22607345718557
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-94,-40.6999501455475,-4.14767155347812
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-93,-39.7240397931165,-4.09146650058619
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-92,-39.3338595666934,-4.05731150229491
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-91,-39.4470751132922,-4.04512660836056
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-90,-40.0566207408014,-4.05489769082706
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-89,-41.2026940698027,-4.0866758964769
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-88,-42.891840516762,-4.1405775702604
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-87,-44.6318535894881,-4.21678463466253
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-86,-44.4048783956404,-4.31554539791239
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-85,-41.5246088011527,-4.43717574688429
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-84,-38.177372420037,-4.58206065488555
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-83,-35.2513472920228,-4.75065589532333
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-82,-32.7780711959983,-4.9434897923551
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-81,-30.6637566432296,-5.16116474852135
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-80,-28.8257828433173,-5.40435815129169
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-79,-27.2039512569907,-5.67382205171319
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-78,-25.7552122616053,-5.97038069307833
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-77,-24.448287927221,-6.29492449140668
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-76,-23.2599180616525,-6.6483983503259
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-75,-22.1723954394235,-7.03178110672925
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-74,-21.1719475645845,-7.4460512655808
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-73,-20.2476556390815,-7.89213172238069
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-72,-19.390716202479,-8.37080251018875
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-71,-18.5939252415854,-8.88256524866777
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-70,-17.8513098515011,-9.42743536812971
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-69,-17.1578599166574,-10.00462800427
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-68,-16.5093290271543,-10.6120913857898
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-67,-15.9020842691166,-11.2458311805889
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-66,-15.3329911459688,-11.898971317997
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-65,-14.7993241752319,-12.5605363739652
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-64,-14.2986965380994,-13.2140656732415
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-63,-13.8290040654109,-13.8364456917941
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-62,-13.3883801490652,-14.3977975768037
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-61,-12.9751590763803,-14.863683057244
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-60,-12.5878459266271,-15.2006643876841
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-59,-12.2250916285344,-15.3845828070318
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-58,-11.8856721108326,-15.4082092363301
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-57,-11.5684707223394,-15.2838007241837
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-56,-11.2724632791763,-15.038854113697
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-55,-10.9967052320385,-14.7078392257666
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-54,-10.7403205483068,-14.3244220428095
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-53,-10.5024919809059,-13.9168243698022
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-52,-10.2824524544187,-13.5063582382216
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-51,-10.0794773436207,-13.1079251799705
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-50,-9.8928774536554,-12.7313002496947
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-49,-9.72199253709708,-12.3824947897026
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-48,-9.56618520311211,-12.0649021136079
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-47,-9.42483508946087,-11.780160806187
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-46,-9.2973331805481,-11.5287667840765
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-45,-9.18307616539703,-11.3104913197658
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-44,-9.08146073951321,-11.1246593103318
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-43,-8.99187776539204,-10.9703306002072
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-42,-8.91370621928833,-10.8464153952343
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-41,-8.84630686834679,-10.7517452837555
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-40,-8.78901564402302,-10.6851143972455
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-39,-8.74113670683328,-10.6453003670277
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-38,-8.70193523594565,-10.6310714198426
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-37,-8.67063002709044,-10.6411837405169
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-36,-8.64638604567727,-10.674371772108
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-35,-8.62830716026945,-10.7293331867853
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-34,-8.61542937500397,-10.8047096902691
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-33,-8.60671498661152,-10.8990645239402
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-32,-8.60104820798396,-11.0108574482783
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-31,-8.59723291735502,-11.1384181036332
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-30,-8.59399329657051,-11.2799189406387
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-29,-8.58997819419322,-11.4333493890752
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-28,-8.58377006405432,-11.5964935778598
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-27,-8.57389925785468,-11.7669146900185
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-26,-8.55886426167611,-11.9419498452111
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-25,-8.53715813702431,-12.1187200858998
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-24,-8.50730094857023,-12.2941603506566
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-23,-8.46787734941499,-12.4650739190709
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-22,-8.41757780020642,-12.6282143513732
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-21,-8.35524120664683,-12.780395156558
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-20,-8.27989618596861,-12.9186233029687
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-19,-8.19079784248708,-13.0402476770363
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-18,-8.08745695278396,-13.1431086756893
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-17,-7.96965888937782,-13.2256716743333
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-16,-7.8374704293466,-13.2871265479501
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-15,-7.69123370006174,-13.3274385711018
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-14,-7.53154774061214,-13.3473426399618
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-13,-7.35923930848403,-13.3482814122776
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-12,-7.17532545849999,-13.3322964590684
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-11,-6.98097094568802,-13.3018877334071
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-10,-6.77744361736439,-13.2598592992582
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-9,-6.56607070311604,-13.2091682458334
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-8,-6.34819838283637,-13.152789984481
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-7,-6.12515633667698,-13.0936081185148
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-6,-5.89822827639347,-13.0343321422431
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-5,-5.66862881884736,-12.9774422703952
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-4,-5.43748654764672,-12.9251580976379
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-3,-5.205832741649,-12.8794264916665
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-2,-4.97459502561414,-12.8419238466265
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-1,-4.7445950976311,-12.8140682100092
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,0,-4.51654968100339,-12.7970375261182
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,1,-4.29107390514633,-12.7917910767779
