"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-90,-40.0566207408014,-4.05489769082706
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-89,-40.8034271683335,-4.06699389536328
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-88,-40.9123669566615,-4.10091478157594
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-87,-40.317360528801,-4.15679317125343
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-86,-39.1566593198571,-4.23482765006962
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-85,-37.6643245423249,-4.33528524673298
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-84,-36.0367368133641,-4.45850478031923
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-83,-34.3940756866176,-4.60490092713458
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-82,-32.7983785781686,-4.77496905635914
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-81,-31.2778210058145,-4.96929087623531
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-80,-29.8428104956033,-5.18854091513758
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-79,-28.4948590245786,-5.4334938273038
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-78,-27.2312021729152,-5.70503244982117
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-77,-26.047171394529,-6.00415642705772
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-76,-24.9374086550592,-6.33199103089837
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-75,-23.8964821305599,-6.6897954904827
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-74,-22.9191883313287,-7.07896962242774
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-73,-22.0006885204736,-7.50105668753073
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-72,-21.1365575178829,-7.95773896992251
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-71,-20.3227868404865,-8.45082020904019
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-70,-19.5557649838214,-8.98218509812666
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-69,-18.8322472945604,-9.55371958117269
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-68,-18.149322187862,-10.1671649963991
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-67,-17.5043772934212,-10.8238617020864
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-66,-16.8950673396865,-11.5243101524529
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-65,-16.3192845942125,-12.2674357293106
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-64,-15.7751321306504,-13.0493880166318
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-63,-15.2608998988283,-13.8616526520031
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-62,-14.7750434249983,-14.6882734031235
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-61,-14.316164902009,-15.5022646433029
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-60,-13.8829964075444,-16.262214843831
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-59,-13.4743849915395,-16.9119628855248
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-58,-13.0892793891798,-17.3881381447568
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-57,-12.7267181364575,-17.6383667608133
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-56,-12.3858188871346,-17.6433022065431
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-55,-12.0657687509689,-17.4262637711109
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-54,-11.7658154921067,-17.0417690683667
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-53,-11.4852594431513,-16.5532311711746
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-52,-11.2234460044604,-16.0156714059955
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-51,-10.9797586098053,-15.4691303866366
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-50,-10.7536120488528,-14.9394697112052
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-49,-10.5444460443008,-14.4418726381427
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-48,-10.3517189872847,-13.9843748152889
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-47,-10.1749017392932,-13.57055155709
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-46,-10.0134714128218,-13.201328532711
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-45,-9.8669050469725,-12.8761270174962
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-44,-9.73467309897753,-12.593561893627
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-43,-9.61623267915675,-12.3518559824956
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-42,-9.51102046636112,-12.1490796845866
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-41,-9.41844525503764,-11.9832846643105
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-40,-9.33788010556412,-11.8525737732469
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-39,-9.26865409869569,-11.7551327455154
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-38,-9.21004373543162,-11.6892389820168
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-37,-9.16126407817913,-11.6532565356098
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-36,-9.12145980058283,-11.6456226528854
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-35,-9.08969640419618,-11.6648289560982
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-34,-9.06495197156205,-11.7093989801474
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-33,-9.04610995636931,-11.7778629698088
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-32,-9.03195365777645,-11.8687303917392
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-31,-9.0211631781687,-11.9804604131348
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-30,-9.01231580501446,-12.1114305891869
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-29,-9.00389086320197,-12.2599041652082
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-28,-8.99428012062661,-12.4239967390931
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-27,-8.9818047562419,-12.6016435585803
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-26,-8.96473967366428,-12.7905694552475
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-25,-8.94134552919705,-12.9882643309799
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-24,-8.90990822540482,-13.1919681528575
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-23,-8.86878481997123,-13.3986704397993
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-22,-8.81645388258429,-13.6051299898322
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-21,-8.75156742089376,-13.8079207284724
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-20,-8.6730007535526,-14.0035085925186
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-19,-8.57989631111312,-14.1883618506729
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-18,-8.47169744081332,-14.3590929680465
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-17,-8.34816894708504,-14.5126242863233
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-16,-8.20940227027475,-14.6463633478278
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-15,-8.05580472706408,-14.7583682646519
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-14,-7.88807385603207,-14.8474810685571
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-13,-7.70715935402656,-14.913409006989
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-12,-7.51421612198501,-14.9567405833942
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-11,-7.31055243085892,-14.9788934332913
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-10,-7.09757715875862,-14.9820022106385
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-9,-6.87674953475229,-14.9687635451692
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-8,-6.64953401355788,-14.9422597009273
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-7,-6.41736197582886,-14.9057822857596
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-6,-6.18160105406522,-14.8626732206763
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-5,-5.94353213027167,-14.8161940158908
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-4,-5.70433349148151,-14.7694280796286
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-3,-5.46507127128057,-14.7252156175223
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-2,-5.22669512676427,-14.6861172447583
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-1,-4.99003806218768,-14.6544007076571
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,0,-4.75581937016419,-14.6320447277438
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,1,-4.52464977969899,-14.620754464793
