"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Theta [deg]","dB(AxialRatioValue) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,41,0.605183078086963
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,42,0.568140939779307
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,43,0.535287264209387
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,44,0.506238128158626
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,45,0.480582817825259
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,46,0.457896286970356
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,47,0.437752834575662
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,48,0.419739594806659
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,49,0.403468507347851
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,50,0.388585782089565
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,51,0.374778361320013
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,52,0.361777367063267
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,53,0.349358891342315
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,54,0.337342697388568
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,55,0.325589460829046
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,56,0.313997133518524
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,57,0.302496907324185
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,58,0.291049130380786
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,59,0.279639409496314
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,60,0.268275031800849
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,61,0.256981759358471
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,62,0.245800989850075
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,63,0.234787229748298
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,64,0.224005788503844
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,65,0.213530569158633
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,66,0.203441800975423
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,67,0.193823535586013
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,68,0.184760717980936
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,69,0.176335662499682
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,70,0.168623832763348
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,71,0.161688963563939
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,72,0.155577777665238
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,73,0.150314812238096
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,74,0.145898100703184
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,75,0.142296542301229
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,76,0.139449635432461
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,77,0.137269841606616
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,78,0.135647302034566
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,79,0.134456149964263
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,80,0.133561424635315
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,81,0.132825651686951
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,82,0.132114432395905
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,83,0.131300738780925
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,84,0.130267921110667
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,85,0.128911639097005
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,86,0.127141027733872
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,87,0.1248794360491
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,88,0.122065073037467
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,89,0.118651896715473
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,90,0.11461112160986
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,91,0.109933830739231
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,92,0.104635406521799
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,93,0.098762912453883
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,94,0.0924072643097288
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,95,0.0857231017043798
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,96,0.0789604552281948
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,97,0.0725118504466689
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,98,0.0669698608061807
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,99,0.063158096200372
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,100,0.0620385585449361
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,101,0.0644064682021702
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,102,0.070532501509263
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,103,0.0801204583093814
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,104,0.0925956892853227
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,105,0.107386723407816
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,106,0.124038691963285
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,107,0.142216918170569
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,108,0.161677418212871
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,109,0.182237698069614
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,110,0.203755485073806
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,111,0.22611473348505
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,112,0.249216799094577
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,113,0.272975026930967
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,114,0.297311565006145
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,115,0.322155656043305
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,116,0.347442947605824
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,117,0.373115540388537
