Phi[deg],Theta[deg],re(rEPhi)[mV]
65,-180,-1043.83
66,-180,-974.064
67,-180,-903.999
68,-180,-833.659
69,-180,-763.065
70,-180,-692.238
71,-180,-621.201
72,-180,-549.974
73,-180,-478.58
74,-180,-407.04
75,-180,-335.376
76,-180,-263.61
77,-180,-191.764
78,-180,-119.859
79,-180,-47.9174
80,-180,24.0386
81,-180,95.9872
82,-180,167.907
83,-180,239.775
84,-180,311.57
85,-180,383.27
86,-180,454.854
87,-180,526.299
88,-180,597.583
89,-180,668.686
90,-180,739.585
91,-180,810.259
92,-180,880.685
93,-180,950.844
94,-180,1020.71
95,-180,1090.27
96,-180,1159.5
97,-180,1228.37
98,-180,1296.87
99,-180,1364.97
100,-180,1432.66
101,-180,1499.91
102,-180,1566.71
103,-180,1633.02
104,-180,1698.84
105,-180,1764.14
106,-180,1828.91
107,-180,1893.12
108,-180,1956.75
109,-180,2019.78
110,-180,2082.2
111,-180,2143.99
112,-180,2205.12
113,-180,2265.58
114,-180,2325.35
115,-180,2384.42
116,-180,2442.75
117,-180,2500.34
118,-180,2557.17
119,-180,2613.22
120,-180,2668.48
121,-180,2722.92
122,-180,2776.54
123,-180,2829.3
124,-180,2881.21
125,-180,2932.24
126,-180,2982.37
127,-180,3031.6
128,-180,3079.9
129,-180,3127.26
130,-180,3173.68
131,-180,3219.12
132,-180,3263.59
133,-180,3307.06
134,-180,3349.52
135,-180,3390.96
136,-180,3431.37
137,-180,3470.74
138,-180,3509.05
139,-180,3546.28
140,-180,3582.44
141,-180,3617.51
142,-180,3651.48
143,-180,3684.33
144,-180,3716.06
145,-180,3746.66
146,-180,3776.12
147,-180,3804.42
148,-180,3831.57
149,-180,3857.55
150,-180,3882.36
151,-180,3905.98
152,-180,3928.42
153,-180,3949.65
154,-180,3969.69
155,-180,3988.51
156,-180,4006.12
157,-180,4022.51
158,-180,4037.68
159,-180,4051.61
160,-180,4064.31
161,-180,4075.77
162,-180,4085.99
163,-180,4094.97
164,-180,4102.7
165,-180,4109.18
166,-180,4114.4
167,-180,4118.38
168,-180,4121.1
169,-180,4122.56
170,-180,4122.77
171,-180,4121.72
172,-180,4119.42
173,-180,4115.86
174,-180,4111.05
175,-180,4104.99
176,-180,4097.67
177,-180,4089.11
178,-180,4079.3
179,-180,4068.25
180,-180,4055.96
-180,-179,4072.23
-179,-179,4058.08
-178,-179,4042.78
-177,-179,4026.32
-176,-179,4008.72
-175,-179,3989.96
-174,-179,3970.08
-173,-179,3949.06
-172,-179,3926.91
-171,-179,3903.65
-170,-179,3879.29
-169,-179,3853.81
-168,-179,3827.25
-167,-179,3799.59
-166,-179,3770.86
-165,-179,3741.06
-164,-179,3710.2
-163,-179,3678.29
-162,-179,3645.34
-161,-179,3611.36
-160,-179,3576.35
-159,-179,3540.33
-158,-179,3503.31
-157,-179,3465.3
-156,-179,3426.31
-155,-179,3386.35
-154,-179,3345.43
-153,-179,3303.57
-152,-179,3260.77
-151,-179,3217.05
-150,-179,3172.42
-149,-179,3126.89
-148,-179,3080.48
-147,-179,3033.2
-146,-179,2985.06
-145,-179,2936.07
-144,-179,2886.25
-143,-179,2835.62
-142,-179,2784.18
-141,-179,2731.95
-140,-179,2678.94
-139,-179,2625.18
-138,-179,2570.66
-137,-179,2515.42
-136,-179,2459.46
-135,-179,2402.8
-134,-179,2345.45
-133,-179,2287.43
-132,-179,2228.76
-131,-179,2169.45
-130,-179,2109.52
-129,-179,2048.98
-128,-179,1987.85
-127,-179,1926.15
-126,-179,1863.89
-125,-179,1801.1
-124,-179,1737.78
-123,-179,1673.96
-122,-179,1609.65
-121,-179,1544.87
-120,-179,1479.64
-119,-179,1413.97
-118,-179,1347.89
-117,-179,1281.41
-116,-179,1214.55
-115,-179,1147.32
-114,-179,1079.76
-113,-179,1011.87
-112,-179,943.667
-111,-179,875.182
-110,-179,806.428
-109,-179,737.424
-108,-179,668.191
-107,-179,598.746
-106,-179,529.109
-105,-179,459.3
-104,-179,389.337
-103,-179,319.242
-102,-179,249.033
-101,-179,178.73
-100,-179,108.353
-99,-179,37.9224
-98,-179,-32.5426
-97,-179,-103.022
-96,-179,-173.494
-95,-179,-243.941
-94,-179,-314.341
-93,-179,-384.675
-92,-179,-454.921
-91,-179,-525.06
-90,-179,-595.07
-89,-179,-664.933
-88,-179,-734.627
-87,-179,-804.132
-86,-179,-873.427
-85,-179,-942.491
-84,-179,-1011.31
-83,-179,-1079.85
-82,-179,-1148.1
-81,-179,-1216.04
-80,-179,-1283.64
-79,-179,-1350.9
-78,-179,-1417.78
-77,-179,-1484.26
-76,-179,-1550.33
-75,-179,-1615.97
-74,-179,-1681.15
-73,-179,-1745.86
-72,-179,-1810.07
-71,-179,-1873.77
-70,-179,-1936.93
-69,-179,-1999.53
-68,-179,-2061.57
-67,-179,-2123
-66,-179,-2183.82
-65,-179,-2244.01
-64,-179,-2303.55
-63,-179,-2362.41
-62,-179,-2420.58
-61,-179,-2478.05
-60,-179,-2534.78
-59,-179,-2590.76
-58,-179,-2645.98
-57,-179,-2700.41
-56,-179,-2754.04
-55,-179,-2806.85
-54,-179,-2858.83
-53,-179,-2909.94
-52,-179,-2960.18
-51,-179,-3009.53
-50,-179,-3057.98
-49,-179,-3105.5
-48,-179,-3152.08
-47,-179,-3197.7
-46,-179,-3242.35
-45,-179,-3286.01
-44,-179,-3328.67
-43,-179,-3370.3
-42,-179,-3410.91
-41,-179,-3450.46
-40,-179,-3488.96
-39,-179,-3526.37
-38,-179,-3562.7
-37,-179,-3597.92
-36,-179,-3632.03
-35,-179,-3665.01
-34,-179,-3696.84
-33,-179,-3727.52
-32,-179,-3757.04
-31,-179,-3785.38
-30,-179,-3812.54
-29,-179,-3838.49
-28,-179,-3863.24
-27,-179,-3886.77
-26,-179,-3909.08
-25,-179,-3930.15
-24,-179,-3949.97
-23,-179,-3968.55
-22,-179,-3985.86
-21,-179,-4001.9
-20,-179,-4016.68
-19,-179,-4030.17
-18,-179,-4042.37
-17,-179,-4053.28
-16,-179,-4062.9
