"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.50042,2.5153389883427,22.957157559309
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.50542,2.94667045374562,24.2337849966396
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.51042,3.49795603860358,25.7079041886406
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.51542,4.21771013338013,27.4282013651566
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.52042,5.18132356193583,29.4586569978564
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.52542,6.51056544575228,31.8826850705005
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.53042,8.41080105910525,34.8046550956295
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.53542,11.2446278023778,38.3369533719653
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.54042,15.6787623194326,42.5277880000541
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.54542,22.94814379195,47.0642704234546
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.55042,35.0432831518756,50.2072143898221
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.55542,52.7755362410843,46.2118614497424
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.56042,66.7135191252663,27.7512927797074
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.56542,62.4956548382915,7.07480100142392
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.57042,52.3249205249062,0.424352468603556
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.57542,50.074155797473,0.276652738224381
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.58042,54.3591016716297,-5.48591483569971
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.58542,52.6760177044299,-19.9220701031805
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.59042,40.2027281725213,-29.9320759252195
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.59542,27.4497179931286,-30.7268418929792
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.60042,18.8573231401199,-27.6150172877249
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.60542,13.5096731333615,-23.8679370798026
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.61042,10.109487719664,-20.4594640484886
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.61542,7.85112130467863,-17.5594884849687
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.62042,6.28439449306961,-15.1260239638297
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.62542,5.15525835112588,-13.0778707146471
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.63042,4.3148522790524,-11.3392224800009
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.63542,3.67219699000307,-9.84840192843531
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.64042,3.16942890773287,-8.55719789757308
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.64542,2.76840788309161,-7.42826683091036
100,0,0,33.3295,33.5702,0,1.524,15.07,19,94.5545,0.65,2.05,95.5823,1.65042,2.44319076119368,-6.43260004446713
