Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,-180,5402.34
-179,-180,5402.04
-178,-180,5400.09
-177,-180,5396.5
-176,-180,5391.26
-175,-180,5384.38
-174,-180,5375.86
-173,-180,5365.7
-172,-180,5353.91
-171,-180,5340.48
-170,-180,5325.43
-169,-180,5308.76
-168,-180,5290.47
-167,-180,5270.57
-166,-180,5249.06
-165,-180,5225.96
-164,-180,5201.26
-163,-180,5174.98
-162,-180,5147.12
-161,-180,5117.69
-160,-180,5086.71
-159,-180,5054.17
-158,-180,5020.1
-157,-180,4984.5
-156,-180,4947.38
-155,-180,4908.75
-154,-180,4868.62
-153,-180,4827.02
-152,-180,4783.94
-151,-180,4739.41
-150,-180,4693.43
-149,-180,4646.02
-148,-180,4597.2
-147,-180,4546.97
-146,-180,4495.37
-145,-180,4442.39
-144,-180,4388.06
-143,-180,4332.39
-142,-180,4275.4
-141,-180,4217.11
-140,-180,4157.54
-139,-180,4096.7
-138,-180,4034.61
-137,-180,3971.29
-136,-180,3906.77
-135,-180,3841.05
-134,-180,3774.16
-133,-180,3706.13
-132,-180,3636.96
-131,-180,3566.69
-130,-180,3495.33
-129,-180,3422.9
-128,-180,3349.44
-127,-180,3274.95
-126,-180,3199.46
-125,-180,3123
-124,-180,3045.59
-123,-180,2967.25
-122,-180,2888.01
-121,-180,2807.89
-120,-180,2726.91
-119,-180,2645.1
-118,-180,2562.49
-117,-180,2479.1
-116,-180,2394.95
-115,-180,2310.07
-114,-180,2224.48
-113,-180,2138.22
-112,-180,2051.31
-111,-180,1963.78
-110,-180,1875.64
-109,-180,1786.93
-108,-180,1697.68
-107,-180,1607.92
-106,-180,1517.66
-105,-180,1426.94
-104,-180,1335.79
-103,-180,1244.22
-102,-180,1152.28
-101,-180,1059.99
-100,-180,967.378
-99,-180,874.47
-98,-180,781.294
-97,-180,687.881
-96,-180,594.259
-95,-180,500.455
-94,-180,406.499
-93,-180,312.419
-92,-180,218.244
-91,-180,124.002
-90,-180,29.7228
-89,-180,-64.5657
-88,-180,-158.834
-87,-180,-253.055
-86,-180,-347.198
-85,-180,-441.236
-84,-180,-535.139
-83,-180,-628.879
-82,-180,-722.427
-81,-180,-815.756
-80,-180,-908.836
-79,-180,-1001.64
-78,-180,-1094.14
-77,-180,-1186.3
-76,-180,-1278.11
-75,-180,-1369.52
-74,-180,-1460.52
-73,-180,-1551.07
-72,-180,-1641.15
-71,-180,-1730.73
-70,-180,-1819.78
-69,-180,-1908.28
-68,-180,-1996.2
-67,-180,-2083.5
-66,-180,-2170.18
-65,-180,-2256.19
-64,-180,-2341.52
-63,-180,-2426.13
-62,-180,-2510
-61,-180,-2593.11
-60,-180,-2675.43
-59,-180,-2756.94
-58,-180,-2837.6
-57,-180,-2917.4
-56,-180,-2996.31
-55,-180,-3074.31
-54,-180,-3151.37
-53,-180,-3227.47
-52,-180,-3302.59
-51,-180,-3376.71
