Phi[deg],Theta[deg],im(rETheta)[mV]
-180,-180,-2382.84
-179,-180,-2379.12
-178,-180,-2374.67
-177,-180,-2369.5
-176,-180,-2363.61
-175,-180,-2357
-174,-180,-2349.67
-173,-180,-2341.62
-172,-180,-2332.86
-171,-180,-2323.39
-170,-180,-2313.22
-169,-180,-2302.34
-168,-180,-2290.75
-167,-180,-2278.47
-166,-180,-2265.5
-165,-180,-2251.83
-164,-180,-2237.48
-163,-180,-2222.45
-162,-180,-2206.74
-161,-180,-2190.36
-160,-180,-2173.31
-159,-180,-2155.6
-158,-180,-2137.23
-157,-180,-2118.21
-156,-180,-2098.55
-155,-180,-2078.25
-154,-180,-2057.31
-153,-180,-2035.75
-152,-180,-2013.57
-151,-180,-1990.77
-150,-180,-1967.37
-149,-180,-1943.37
-148,-180,-1918.77
-147,-180,-1893.59
-146,-180,-1867.84
-145,-180,-1841.51
-144,-180,-1814.63
-143,-180,-1787.19
-142,-180,-1759.21
-141,-180,-1730.69
-140,-180,-1701.65
-139,-180,-1672.08
-138,-180,-1642.01
-137,-180,-1611.44
-136,-180,-1580.37
-135,-180,-1548.83
-134,-180,-1516.81
-133,-180,-1484.33
-132,-180,-1451.4
-131,-180,-1418.03
-130,-180,-1384.22
-129,-180,-1350
-128,-180,-1315.36
-127,-180,-1280.32
-126,-180,-1244.89
-125,-180,-1209.08
-124,-180,-1172.91
-123,-180,-1136.37
-122,-180,-1099.49
-121,-180,-1062.28
-120,-180,-1024.74
-119,-180,-986.891
-118,-180,-948.74
-117,-180,-910.3
-116,-180,-871.583
-115,-180,-832.6
-114,-180,-793.364
-113,-180,-753.886
-112,-180,-714.178
-111,-180,-674.253
-110,-180,-634.122
-109,-180,-593.799
-108,-180,-553.294
-107,-180,-512.621
-106,-180,-471.792
-105,-180,-430.819
-104,-180,-389.714
-103,-180,-348.492
-102,-180,-307.162
-101,-180,-265.74
-100,-180,-224.236
-99,-180,-182.664
-98,-180,-141.037
-97,-180,-99.3662
-96,-180,-57.6654
-95,-180,-15.9471
-94,-180,25.7762
-93,-180,67.4915
-92,-180,109.186
-91,-180,150.848
-90,-180,192.463
-89,-180,234.02
-88,-180,275.506
-87,-180,316.908
-86,-180,358.213
-85,-180,399.409
-84,-180,440.484
-83,-180,481.424
-82,-180,522.217
-81,-180,562.852
-80,-180,603.315
-79,-180,643.594
-78,-180,683.678
-77,-180,723.553
-76,-180,763.207
-75,-180,802.63
-74,-180,841.807
-73,-180,880.728
-72,-180,919.381
-71,-180,957.754
-70,-180,995.835
-69,-180,1033.61
-68,-180,1071.08
-67,-180,1108.21
-66,-180,1145.01
-65,-180,1181.46
-64,-180,1217.55
-63,-180,1253.27
-62,-180,1288.61
-61,-180,1323.56
-60,-180,1358.1
-59,-180,1392.23
-58,-180,1425.93
-57,-180,1459.2
-56,-180,1492.03
-55,-180,1524.4
-54,-180,1556.3
-53,-180,1587.74
-52,-180,1618.69
-51,-180,1649.14
-50,-180,1679.09
-49,-180,1708.54
-48,-180,1737.46
-47,-180,1765.85
-46,-180,1793.71
-45,-180,1821.01
-44,-180,1847.77
-43,-180,1873.96
-42,-180,1899.58
-41,-180,1924.62
-40,-180,1949.07
-39,-180,1972.93
-38,-180,1996.2
-37,-180,2018.85
-36,-180,2040.88
-35,-180,2062.3
-34,-180,2083.09
-33,-180,2103.24
-32,-180,2122.75
-31,-180,2141.62
-30,-180,2159.83
-29,-180,2177.39
-28,-180,2194.28
-27,-180,2210.5
-26,-180,2226.05
-25,-180,2240.92
-24,-180,2255.11
-23,-180,2268.62
-22,-180,2281.43
-21,-180,2293.54
-20,-180,2304.96
-19,-180,2315.68
-18,-180,2325.69
-17,-180,2334.99
-16,-180,2343.58
-15,-180,2351.46
-14,-180,2358.62
-13,-180,2365.06
-12,-180,2370.78
-11,-180,2375.78
-10,-180,2380.06
-9,-180,2383.61
-8,-180,2386.44
-7,-180,2388.53
-6,-180,2389.9
-5,-180,2390.55
-4,-180,2390.46
-3,-180,2389.65
-2,-180,2388.1
-1,-180,2385.84
0,-180,2382.84
1,-180,2379.12
2,-180,2374.67
3,-180,2369.5
4,-180,2363.61
5,-180,2357
6,-180,2349.67
7,-180,2341.62
8,-180,2332.86
9,-180,2323.39
10,-180,2313.22
11,-180,2302.34
12,-180,2290.75
13,-180,2278.47
14,-180,2265.5
15,-180,2251.83
16,-180,2237.48
17,-180,2222.45
18,-180,2206.74
19,-180,2190.36
20,-180,2173.31
21,-180,2155.6
22,-180,2137.23
23,-180,2118.21
24,-180,2098.55
25,-180,2078.25
26,-180,2057.31
27,-180,2035.75
28,-180,2013.57
29,-180,1990.77
30,-180,1967.37
31,-180,1943.37
32,-180,1918.77
33,-180,1893.59
34,-180,1867.84
35,-180,1841.51
36,-180,1814.63
37,-180,1787.19
38,-180,1759.21
39,-180,1730.69
40,-180,1701.65
41,-180,1672.08
42,-180,1642.01
43,-180,1611.44
44,-180,1580.37
45,-180,1548.83
46,-180,1516.81
47,-180,1484.33
48,-180,1451.4
49,-180,1418.03
50,-180,1384.22
51,-180,1350
52,-180,1315.36
53,-180,1280.32
54,-180,1244.89
55,-180,1209.08
56,-180,1172.91
57,-180,1136.37
58,-180,1099.49
59,-180,1062.28
60,-180,1024.74
61,-180,986.891
62,-180,948.74
63,-180,910.3
64,-180,871.583
65,-180,832.6
66,-180,793.364
67,-180,753.886
68,-180,714.178
69,-180,674.253
70,-180,634.122
71,-180,593.799
72,-180,553.294
73,-180,512.621
74,-180,471.792
75,-180,430.819
76,-180,389.714
77,-180,348.492
78,-180,307.162
79,-180,265.74
80,-180,224.236
81,-180,182.664
82,-180,141.037
83,-180,99.3662
84,-180,57.6654
85,-180,15.9471
86,-180,-25.7762
87,-180,-67.4915
88,-180,-109.186
89,-180,-150.848
90,-180,-192.463
91,-180,-234.02
92,-180,-275.506
93,-180,-316.908
94,-180,-358.213
95,-180,-399.409
96,-180,-440.484
97,-180,-481.424
98,-180,-522.217
99,-180,-562.852
100,-180,-603.315
101,-180,-643.594
102,-180,-683.678
103,-180,-723.553
104,-180,-763.207
105,-180,-802.63
106,-180,-841.807
107,-180,-880.728
108,-180,-919.381
109,-180,-957.754
110,-180,-995.835
111,-180,-1033.61
112,-180,-1071.08
113,-180,-1108.21
114,-180,-1145.01
115,-180,-1181.46
116,-180,-1217.55
117,-180,-1253.27
118,-180,-1288.61
119,-180,-1323.56
120,-180,-1358.1
121,-180,-1392.23
122,-180,-1425.93
123,-180,-1459.2
124,-180,-1492.03
125,-180,-1524.4
126,-180,-1556.3
127,-180,-1587.74
128,-180,-1618.69
129,-180,-1649.14
130,-180,-1679.09
131,-180,-1708.54
132,-180,-1737.46
133,-180,-1765.85
134,-180,-1793.71
135,-180,-1821.01
136,-180,-1847.77
137,-180,-1873.96
138,-180,-1899.58
139,-180,-1924.62
140,-180,-1949.07
141,-180,-1972.93
142,-180,-1996.2
143,-180,-2018.85
144,-180,-2040.88
145,-180,-2062.3
146,-180,-2083.09
147,-180,-2103.24
148,-180,-2122.75
149,-180,-2141.62
150,-180,-2159.83
151,-180,-2177.39
152,-180,-2194.28
153,-180,-2210.5
154,-180,-2226.05
155,-180,-2240.92
156,-180,-2255.11
157,-180,-2268.62
158,-180,-2281.43
159,-180,-2293.54
160,-180,-2304.96
161,-180,-2315.68
162,-180,-2325.69
163,-180,-2334.99
164,-180,-2343.58
165,-180,-2351.46
166,-180,-2358.62
167,-180,-2365.06
168,-180,-2370.78
169,-180,-2375.78
170,-180,-2380.06
171,-180,-2383.61
172,-180,-2386.44
173,-180,-2388.53
174,-180,-2389.9
175,-180,-2390.55
176,-180,-2390.46
177,-180,-2389.65
178,-180,-2388.1
179,-180,-2385.84
180,-180,-2382.84
-180,-179,-2383.15
-179,-179,-2379.53
-178,-179,-2375.39
-177,-179,-2370.73
-176,-179,-2365.55
-175,-179,-2359.85
-174,-179,-2353.64
-173,-179,-2346.92
-172,-179,-2339.67
-171,-179,-2331.92
-170,-179,-2323.65
-169,-179,-2314.88
-168,-179,-2305.59
-167,-179,-2295.79
-166,-179,-2285.48
-165,-179,-2274.66
-164,-179,-2263.34
-163,-179,-2251.5
-162,-179,-2239.17
-161,-179,-2226.32
-160,-179,-2212.97
-159,-179,-2199.12
-158,-179,-2184.76
-157,-179,-2169.9
-156,-179,-2154.54
-155,-179,-2138.67
-154,-179,-2122.31
-153,-179,-2105.44
-152,-179,-2088.08
-151,-179,-2070.22
-150,-179,-2051.86
-149,-179,-2033.01
-148,-179,-2013.66
-147,-179,-1993.82
-146,-179,-1973.49
-145,-179,-1952.66
-144,-179,-1931.35
-143,-179,-1909.55
-142,-179,-1887.26
-141,-179,-1864.49
-140,-179,-1841.23
-139,-179,-1817.5
-138,-179,-1793.28
-137,-179,-1768.59
-136,-179,-1743.42
-135,-179,-1717.78
-134,-179,-1691.67
-133,-179,-1665.09
-132,-179,-1638.05
-131,-179,-1610.54
-130,-179,-1582.58
