Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,-180,-192.463
-179,-180,-234.02
-178,-180,-275.506
-177,-180,-316.908
-176,-180,-358.213
-175,-180,-399.409
-174,-180,-440.484
-173,-180,-481.424
-172,-180,-522.217
-171,-180,-562.852
-170,-180,-603.315
-169,-180,-643.594
-168,-180,-683.678
-167,-180,-723.553
-166,-180,-763.207
-165,-180,-802.63
-164,-180,-841.807
-163,-180,-880.728
-162,-180,-919.381
-161,-180,-957.754
-160,-180,-995.835
-159,-180,-1033.61
-158,-180,-1071.08
-157,-180,-1108.21
-156,-180,-1145.01
-155,-180,-1181.46
-154,-180,-1217.55
-153,-180,-1253.27
-152,-180,-1288.61
-151,-180,-1323.56
-150,-180,-1358.1
-149,-180,-1392.23
-148,-180,-1425.93
-147,-180,-1459.2
-146,-180,-1492.03
-145,-180,-1524.4
-144,-180,-1556.3
-143,-180,-1587.74
-142,-180,-1618.69
-141,-180,-1649.14
-140,-180,-1679.09
-139,-180,-1708.54
-138,-180,-1737.46
-137,-180,-1765.85
-136,-180,-1793.71
-135,-180,-1821.01
-134,-180,-1847.77
-133,-180,-1873.96
-132,-180,-1899.58
-131,-180,-1924.62
-130,-180,-1949.07
-129,-180,-1972.93
-128,-180,-1996.2
-127,-180,-2018.85
-126,-180,-2040.88
-125,-180,-2062.3
-124,-180,-2083.09
-123,-180,-2103.24
-122,-180,-2122.75
-121,-180,-2141.62
-120,-180,-2159.83
-119,-180,-2177.39
-118,-180,-2194.28
-117,-180,-2210.5
-116,-180,-2226.05
-115,-180,-2240.92
-114,-180,-2255.11
-113,-180,-2268.62
-112,-180,-2281.43
-111,-180,-2293.54
-110,-180,-2304.96
-109,-180,-2315.68
-108,-180,-2325.69
-107,-180,-2334.99
-106,-180,-2343.58
-105,-180,-2351.46
-104,-180,-2358.62
-103,-180,-2365.06
-102,-180,-2370.78
-101,-180,-2375.78
-100,-180,-2380.06
-99,-180,-2383.61
-98,-180,-2386.44
-97,-180,-2388.53
-96,-180,-2389.9
-95,-180,-2390.55
-94,-180,-2390.46
-93,-180,-2389.65
-92,-180,-2388.1
-91,-180,-2385.84
-90,-180,-2382.84
-89,-180,-2379.12
-88,-180,-2374.67
-87,-180,-2369.5
-86,-180,-2363.61
-85,-180,-2357
-84,-180,-2349.67
-83,-180,-2341.62
-82,-180,-2332.86
-81,-180,-2323.39
-80,-180,-2313.22
-79,-180,-2302.34
-78,-180,-2290.75
-77,-180,-2278.47
-76,-180,-2265.5
-75,-180,-2251.83
-74,-180,-2237.48
-73,-180,-2222.45
-72,-180,-2206.74
-71,-180,-2190.36
-70,-180,-2173.31
-69,-180,-2155.6
-68,-180,-2137.23
-67,-180,-2118.21
-66,-180,-2098.55
-65,-180,-2078.25
-64,-180,-2057.31
-63,-180,-2035.75
-62,-180,-2013.57
-61,-180,-1990.77
-60,-180,-1967.37
-59,-180,-1943.37
-58,-180,-1918.77
-57,-180,-1893.59
-56,-180,-1867.84
-55,-180,-1841.51
-54,-180,-1814.63
-53,-180,-1787.19
-52,-180,-1759.21
-51,-180,-1730.69
-50,-180,-1701.65
-49,-180,-1672.08
-48,-180,-1642.01
-47,-180,-1611.44
-46,-180,-1580.37
-45,-180,-1548.83
-44,-180,-1516.81
-43,-180,-1484.33
-42,-180,-1451.4
-41,-180,-1418.03
-40,-180,-1384.22
-39,-180,-1350
-38,-180,-1315.36
-37,-180,-1280.32
-36,-180,-1244.89
-35,-180,-1209.08
-34,-180,-1172.91
-33,-180,-1136.37
-32,-180,-1099.49
-31,-180,-1062.28
-30,-180,-1024.74
-29,-180,-986.891
-28,-180,-948.74
-27,-180,-910.3
-26,-180,-871.583
-25,-180,-832.6
-24,-180,-793.364
-23,-180,-753.886
-22,-180,-714.178
-21,-180,-674.253
-20,-180,-634.122
-19,-180,-593.799
-18,-180,-553.294
-17,-180,-512.621
-16,-180,-471.792
-15,-180,-430.819
-14,-180,-389.714
-13,-180,-348.492
-12,-180,-307.162
-11,-180,-265.74
-10,-180,-224.236
-9,-180,-182.664
-8,-180,-141.037
-7,-180,-99.3662
-6,-180,-57.6654
-5,-180,-15.9471
-4,-180,25.7762
-3,-180,67.4915
-2,-180,109.186
-1,-180,150.848
0,-180,192.463
1,-180,234.02
2,-180,275.506
3,-180,316.908
4,-180,358.213
5,-180,399.409
6,-180,440.484
7,-180,481.424
8,-180,522.217
9,-180,562.852
10,-180,603.315
11,-180,643.594
12,-180,683.678
13,-180,723.553
14,-180,763.207
15,-180,802.63
16,-180,841.807
17,-180,880.728
18,-180,919.381
19,-180,957.754
20,-180,995.835
21,-180,1033.61
22,-180,1071.08
23,-180,1108.21
24,-180,1145.01
25,-180,1181.46
26,-180,1217.55
27,-180,1253.27
28,-180,1288.61
29,-180,1323.56
30,-180,1358.1
31,-180,1392.23
32,-180,1425.93
33,-180,1459.2
34,-180,1492.03
35,-180,1524.4
36,-180,1556.3
37,-180,1587.74
38,-180,1618.69
39,-180,1649.14
40,-180,1679.09
41,-180,1708.54
42,-180,1737.46
43,-180,1765.85
44,-180,1793.71
45,-180,1821.01
46,-180,1847.77
47,-180,1873.96
48,-180,1899.58
49,-180,1924.62
50,-180,1949.07
51,-180,1972.93
52,-180,1996.2
53,-180,2018.85
54,-180,2040.88
55,-180,2062.3
56,-180,2083.09
57,-180,2103.24
58,-180,2122.75
59,-180,2141.62
60,-180,2159.83
61,-180,2177.39
62,-180,2194.28
63,-180,2210.5
64,-180,2226.05
65,-180,2240.92
66,-180,2255.11
67,-180,2268.62
68,-180,2281.43
69,-180,2293.54
70,-180,2304.96
71,-180,2315.68
72,-180,2325.69
73,-180,2334.99
74,-180,2343.58
75,-180,2351.46
76,-180,2358.62
77,-180,2365.06
78,-180,2370.78
79,-180,2375.78
80,-180,2380.06
81,-180,2383.61
82,-180,2386.44
83,-180,2388.53
84,-180,2389.9
85,-180,2390.55
86,-180,2390.46
87,-180,2389.65
88,-180,2388.1
89,-180,2385.84
90,-180,2382.84
