"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.50042,0.823495028397939,14.2395872240051
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.51917,1.23537991173751,15.8613712006236
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.53792,2.05336353845979,18.255848072274
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.55667,4.0165240232387,22.1748987707442
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.57542,10.4535485825284,29.2134897721312
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.59417,39.3725025272694,30.0048748571874
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.61292,29.089711221193,-15.8380404027999
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.63167,8.57478288361694,-9.5522769265833
100,0,0,42.777,32.5023,0,1.524,15.07,19,90,0.65,2.05,96.0818,1.65042,3.78657101204847,-3.63045754565045
