Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,-180,-6.4983
-179,-180,-6.55402
-178,-180,-6.60774
-177,-180,-6.65946
-176,-180,-6.70914
-175,-180,-6.75679
-174,-180,-6.80237
-173,-180,-6.84588
-172,-180,-6.88731
-171,-180,-6.92663
-170,-180,-6.96385
-169,-180,-6.99895
-168,-180,-7.03191
-167,-180,-7.06274
-166,-180,-7.09141
-165,-180,-7.11792
-164,-180,-7.14226
-163,-180,-7.16443
-162,-180,-7.18442
-161,-180,-7.20221
-160,-180,-7.21782
-159,-180,-7.23122
-158,-180,-7.24242
-157,-180,-7.25142
-156,-180,-7.25821
-155,-180,-7.26278
-154,-180,-7.26515
-153,-180,-7.2653
-152,-180,-7.26323
-151,-180,-7.25896
-150,-180,-7.25247
-149,-180,-7.24378
-148,-180,-7.23288
-147,-180,-7.21977
-146,-180,-7.20447
-145,-180,-7.18697
-144,-180,-7.16728
-143,-180,-7.14541
-142,-180,-7.12136
-141,-180,-7.09514
-140,-180,-7.06676
-139,-180,-7.03623
-138,-180,-7.00356
-137,-180,-6.96875
-136,-180,-6.93182
-135,-180,-6.89278
-134,-180,-6.85164
-133,-180,-6.80841
-132,-180,-6.76311
-131,-180,-6.71574
-130,-180,-6.66634
-129,-180,-6.6149
-128,-180,-6.56144
-127,-180,-6.50599
-126,-180,-6.44856
-125,-180,-6.38916
-124,-180,-6.32781
-123,-180,-6.26454
-122,-180,-6.19936
-121,-180,-6.13229
-120,-180,-6.06336
-119,-180,-5.99257
-118,-180,-5.91996
-117,-180,-5.84555
-116,-180,-5.76936
-115,-180,-5.69141
-114,-180,-5.61172
-113,-180,-5.53033
-112,-180,-5.44725
-111,-180,-5.36251
-110,-180,-5.27614
-109,-180,-5.18816
-108,-180,-5.09861
-107,-180,-5.00749
-106,-180,-4.91486
-105,-180,-4.82072
-104,-180,-4.72512
-103,-180,-4.62808
-102,-180,-4.52963
-101,-180,-4.4298
-100,-180,-4.32862
-99,-180,-4.22612
-98,-180,-4.12233
-97,-180,-4.01729
-96,-180,-3.91102
-95,-180,-3.80357
-94,-180,-3.69495
-93,-180,-3.58521
-92,-180,-3.47438
-91,-180,-3.36248
-90,-180,-3.24957
-89,-180,-3.13566
-88,-180,-3.0208
-87,-180,-2.90502
-86,-180,-2.78835
-85,-180,-2.67084
-84,-180,-2.55251
-83,-180,-2.4334
-82,-180,-2.31355
-81,-180,-2.193
-80,-180,-2.07178
-79,-180,-1.94993
-78,-180,-1.82749
-77,-180,-1.70448
-76,-180,-1.58096
-75,-180,-1.45696
-74,-180,-1.33251
-73,-180,-1.20766
-72,-180,-1.08244
-71,-180,-0.956888
-70,-180,-0.831047
-69,-180,-0.704952
-68,-180,-0.578642
-67,-180,-0.452156
-66,-180,-0.325533
-65,-180,-0.19881
-64,-180,-0.0720267
-63,-180,0.0547785
-62,-180,0.181567
-61,-180,0.3083
-60,-180,0.43494
-59,-180,0.561446
-58,-180,0.687782
-57,-180,0.813909
-56,-180,0.939787
-55,-180,1.06538
-54,-180,1.19065
-53,-180,1.31555
-52,-180,1.44006
-51,-180,1.56412
-50,-180,1.68771
-49,-180,1.81079
-48,-180,1.93331
-47,-180,2.05524
-46,-180,2.17655
-45,-180,2.2972
-44,-180,2.41714
-43,-180,2.53635
-42,-180,2.65479
-41,-180,2.77242
-40,-180,2.8892
-39,-180,3.0051
-38,-180,3.12009
-37,-180,3.23413
-36,-180,3.34718
-35,-180,3.45922
-34,-180,3.5702
-33,-180,3.68009
-32,-180,3.78886
-31,-180,3.89648
-30,-180,4.0029
-29,-180,4.10812
-28,-180,4.21207
-27,-180,4.31475
-26,-180,4.41611
-25,-180,4.51613
-24,-180,4.61477
-23,-180,4.71201
-22,-180,4.8078
-21,-180,4.90214
-20,-180,4.99498
-19,-180,5.0863
-18,-180,5.17607
-17,-180,5.26427
-16,-180,5.35086
-15,-180,5.43582
-14,-180,5.51913
-13,-180,5.60075
-12,-180,5.68067
-11,-180,5.75886
-10,-180,5.83529
-9,-180,5.90995
-8,-180,5.9828
-7,-180,6.05384
-6,-180,6.12302
-5,-180,6.19035
-4,-180,6.25579
-3,-180,6.31932
-2,-180,6.38093
-1,-180,6.44059
0,-180,6.4983
1,-180,6.55402
2,-180,6.60774
3,-180,6.65946
4,-180,6.70914
5,-180,6.75679
6,-180,6.80237
7,-180,6.84588
8,-180,6.88731
9,-180,6.92663
10,-180,6.96385
11,-180,6.99895
12,-180,7.03191
13,-180,7.06274
14,-180,7.09141
15,-180,7.11792
16,-180,7.14226
17,-180,7.16443
18,-180,7.18442
19,-180,7.20221
20,-180,7.21782
21,-180,7.23122
22,-180,7.24242
23,-180,7.25142
24,-180,7.25821
25,-180,7.26278
26,-180,7.26515
27,-180,7.2653
28,-180,7.26323
29,-180,7.25896
30,-180,7.25247
31,-180,7.24378
32,-180,7.23288
33,-180,7.21977
34,-180,7.20447
35,-180,7.18697
36,-180,7.16728
37,-180,7.14541
38,-180,7.12136
39,-180,7.09514
40,-180,7.06676
41,-180,7.03623
42,-180,7.00356
43,-180,6.96875
44,-180,6.93182
45,-180,6.89278
46,-180,6.85164
47,-180,6.80841
48,-180,6.76311
49,-180,6.71574
50,-180,6.66634
51,-180,6.6149
52,-180,6.56144
53,-180,6.50599
54,-180,6.44856
55,-180,6.38916
56,-180,6.32781
57,-180,6.26454
58,-180,6.19936
59,-180,6.13229
60,-180,6.06336
61,-180,5.99257
62,-180,5.91996
63,-180,5.84555
64,-180,5.76936
65,-180,5.69141
66,-180,5.61172
67,-180,5.53033
68,-180,5.44725
69,-180,5.36251
70,-180,5.27614
71,-180,5.18816
72,-180,5.09861
73,-180,5.00749
74,-180,4.91486
75,-180,4.82072
76,-180,4.72512
