"Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
1.50042,2.03939433348846,17.1362954679109
1.50542,2.36434674815745,17.849871994599
1.51042,2.77040514740393,18.6560288664936
1.51542,3.28581647045136,19.5724927083653
1.52042,3.95164782422081,20.6201454262649
1.52542,4.82895003418003,21.8222131655133
1.53042,6.01051111293139,23.2008887259154
1.53542,7.64008213046743,24.7672622545791
1.54042,9.94252000255865,26.4942017459016
1.54542,13.2638480725488,28.2468505833195
1.55042,18.0909241688489,29.6150992497906
1.55542,24.8994877155237,29.5703343463193
1.56042,33.3740549867085,26.0938363530908
1.56542,40.6927526596831,17.0886395799521
1.57042,41.8789400510265,4.24260715563813
1.57542,35.9910724461165,-6.29303687132061
1.58042,27.5948880961216,-11.281155616041
1.58542,20.329141874996,-12.2015822685934
1.59042,15.0219846241503,-11.2430722305743
1.59542,11.3274863612682,-9.66382937765823
1.60042,8.75516701202346,-8.0031592808279
1.60542,6.93161508731288,-6.45602277216349
1.61042,5.60833565729829,-5.07620503519034
1.61542,4.62506371408624,-3.86438787212958
1.62042,3.87806119283768,-2.80360062218024
1.62542,3.29905170939155,-1.87291997866375
1.63042,2.84213928180866,-1.05244427523547
1.63542,2.47578675272222,-0.32482173766386
1.64042,2.17785731439997,0.324540569761826
1.64542,1.93249908356778,0.907731503460773
1.65042,1.72814931558431,1.43471469923701
