"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainTheta) []","dB(GainPhi) []"
1.57542,90,95,8.13500082580458,-37.2772633866453
1.57542,90,96,8.0862206933856,-35.7978295760106
1.57542,90,97,8.02888460835199,-34.5477051470204
1.57542,90,98,7.96307344734024,-33.4719824987447
1.57542,90,99,7.88888471235555,-32.5333949543231
1.57542,90,100,7.80643363751973,-31.7056459016073
1.57542,90,101,7.71585440678357,-30.9695513131729
1.57542,90,102,7.61730147444791,-30.3107176977985
1.57542,90,103,7.51095097761868,-29.7180882791349
1.57542,90,104,7.39700222636945,-29.1829998341375
1.57542,90,105,7.27567925330867,-28.6985513005182
1.57542,90,106,7.14723239935334,-28.2591692490418
1.57542,90,107,7.01193990671615,-27.860301433875
1.57542,90,108,6.8701094833583,-27.4981958847961
1.57542,90,109,6.72207979542468,-27.1697384576718
1.57542,90,110,6.5682218354986,-26.8723311411213
1.57542,90,111,6.4089401050142,-26.6037992763302
1.57542,90,112,6.24467353908421,-26.3623196023451
1.57542,90,113,6.07589609172984,-26.1463635043473
1.57542,90,114,5.90311688961345,-25.9546514965555
1.57542,90,115,5.72687985366696,-25.7861161038149
1.57542,90,116,5.54776268150921,-25.6398710952132
1.57542,90,117,5.36637508052278,-25.5151855818187
1.57542,90,118,5.18335614338886,-25.4114618912988
1.57542,90,119,4.99937076636493,-25.3282164222625
1.57542,90,120,4.81510502723903,-25.2650628925353
1.57542,90,121,4.63126046612153,-25.2216975500285
1.57542,90,122,4.44854724900643,-25.1978860277531
1.57542,90,123,4.26767624157019,-25.1934516069001
1.57542,90,124,4.0893500781417,-25.20826471197
1.57542,90,125,3.91425337600541,-25.2422335059219
1.57542,90,126,3.74304231453909,-25.2952954860957
1.57542,90,127,3.57633386701543,-25.3674100071311
1.57542,90,128,3.41469503390375,-25.4585516784256
1.57542,90,129,3.25863247324359,-25.5687046034967
1.57542,90,130,3.10858294936969,-25.6978574491778
1.57542,90,131,2.96490502036186,-25.8459993558704
1.57542,90,132,2.82787235368761,-26.0131167278504
1.57542,90,133,2.6976689982299,-26.1991909765139
1.57542,90,134,2.57438685234666,-26.4041973309104
1.57542,90,135,2.45802545827576,-26.6281048803132
1.57542,90,136,2.34849413227717,-26.8708780740355
1.57542,90,137,2.24561631815584,-27.1324799751131
1.57542,90,138,2.14913594009926,-27.4128776472927
1.57542,90,139,2.05872543859207,-27.7120501490036
1.57542,90,140,1.97399510745433,-28.029999713073
1.57542,90,141,1.89450331438531,-28.366766805862
1.57542,90,142,1.81976718189386,-28.7224498831441
1.57542,90,143,1.74927332716302,-29.0972307919871
1.57542,90,144,1.68248830291879,-29.491406909919
1.57542,90,145,1.61886844012135,-29.9054312710357
1.57542,90,146,1.55786886032679,-30.3399621178169
1.57542,90,147,1.49895149447806,-30.7959235643222
1.57542,90,148,1.44159201040525,-31.2745794068495
1.57542,90,149,1.3852856096249,-31.7776226427682
1.57542,90,150,1.32955170280398,-32.3072840586252
1.57542,90,151,1.27393751152883,-32.8664644590232
1.57542,90,152,1.21802067192423,-33.4588968853097
1.57542,90,153,1.16141093411641,-34.0893476546847
1.57542,90,154,1.10375106191739,-34.7638682171582
1.57542,90,155,1.04471704103521,-35.4901131102577
1.57542,90,156,0.984017703197493,-36.2777404331207
1.57542,90,157,0.92139386930034,-37.1389030229774
1.57542,90,158,0.85661710832279,-38.0887988957943
1.57542,90,159,0.78948820129062,-39.1461118622199
1.57542,90,160,0.719835391778104,-40.3327322353465
1.57542,90,161,0.647512496811454,-41.670760143943
1.57542,90,162,0.572396944876798,-43.1704870933591
1.57542,90,163,0.494387801164262,-44.7907970995961
1.57542,90,164,0.413403834188119,-46.3319216017552
1.57542,90,165,0.329381672406629,-47.2806789126631
1.57542,90,166,0.242274094259428,-47.0434200863617
1.57542,90,167,0.152048489948594,-45.7352234196328
1.57542,90,168,0.0586855281102445,-44.0007429914728
1.57542,90,169,-0.0378219449300735,-42.2681177783982
1.57542,90,170,-0.137469751509572,-40.6828802196604
1.57542,90,171,-0.240242959209607,-39.2680753877406
1.57542,90,172,-0.346116179331277,-38.0098553584304
1.57542,90,173,-0.455053586602633,-36.887034684532
1.57542,90,174,-0.567008667724308,-35.8797048065921
1.57542,90,175,-0.681923715146528,-34.9711716187265
1.57542,90,176,-0.799729091654995,-34.1479298890882
1.57542,90,177,-0.920342300768875,-33.3991557360456
1.57542,90,178,-1.04366690743471,-32.7161631320152
1.57542,90,179,-1.16959136281812,-32.0919417689472
1.57542,90,180,-1.29798779590346,-31.5207919081768
