"Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
1.50042,2.04993139291406,17.1189364193564
1.50542,2.38125592689749,17.8287964190738
1.51042,2.79559219986061,18.6299370376046
1.51542,3.32182233823595,19.5393901255175
1.52042,4.00186339616543,20.5768862054358
1.52542,4.89786107991395,21.7636935806773
1.53042,6.10387449147461,23.118592674656
1.53542,7.76468005806602,24.6466066870912
1.54042,10.1043759516735,26.3097493528251
1.54542,13.4616108581193,27.9543214292228
1.55042,18.2956757585761,29.1417288955176
1.55542,25.0041804542834,28.8213558322814
1.56042,33.1188204621457,25.0452796090267
1.56542,39.7510267100722,16.0390164786694
1.57042,40.365453056138,3.80632180775631
1.57542,34.5526035024975,-5.92688406473021
1.58042,26.6257542981984,-10.4941484491672
1.58542,19.7948904837021,-11.3544148031707
1.59042,14.7681932151489,-10.4859952239737
1.59542,11.2325486501077,-9.02648874559948
1.60042,8.74592807208961,-7.47355204833742
1.60542,6.96749511431162,-6.01355651920531
1.61042,5.66726943747331,-4.70197295856887
1.61542,4.69504088357544,-3.54331979058434
1.62042,3.95251017258063,-2.52421677901763
1.62542,3.37437552838431,-1.62657735857087
1.63042,2.91639281032673,-0.832620212793993
1.63542,2.54795527833737,-0.126551325048984
1.64042,2.24745556716299,0.50507916942785
1.64542,1.99934419647457,1.07351614473756
1.65042,1.79223015352953,1.58809405974284
