"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.50042,0.828516986333378,14.4651363425371
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.51917,1.23272794126187,16.084437307279
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.53792,2.02254735886582,18.4527137666844
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.55667,3.86933246953989,22.2776286376365
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.57542,9.6606096826905,29.0983651083304
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.59417,35.5887597231761,33.3306967717008
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.61292,34.8299937326108,-15.1932483077499
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.63167,10.0147182070221,-10.9449566729627
100,0,0,33.0864,43.5363,0,1.524,15.07,19,96.2368,0.65,2.05,90,1.65042,4.27208123746816,-4.45081552151271
