Phi[deg],Theta[deg],re(rETheta)[mV]
-180,-180,-578.807
-179,-180,-648.841
-178,-180,-718.679
-177,-180,-788.297
-176,-180,-857.675
-175,-180,-926.792
-174,-180,-995.627
-173,-180,-1064.16
-172,-180,-1132.37
-171,-180,-1200.23
-170,-180,-1267.72
-169,-180,-1334.83
-168,-180,-1401.54
-167,-180,-1467.82
-166,-180,-1533.65
-165,-180,-1599.01
-164,-180,-1663.88
-163,-180,-1728.25
-162,-180,-1792.09
-161,-180,-1855.39
-160,-180,-1918.12
-159,-180,-1980.27
-158,-180,-2041.81
-157,-180,-2102.74
-156,-180,-2163.02
-155,-180,-2222.64
-154,-180,-2281.58
-153,-180,-2339.84
-152,-180,-2397.37
-151,-180,-2454.18
-150,-180,-2510.24
-149,-180,-2565.54
-148,-180,-2620.05
-147,-180,-2673.76
-146,-180,-2726.67
-145,-180,-2778.74
-144,-180,-2829.96
-143,-180,-2880.32
-142,-180,-2929.81
-141,-180,-2978.4
-140,-180,-3026.09
-139,-180,-3072.85
-138,-180,-3118.68
-137,-180,-3163.55
-136,-180,-3207.47
-135,-180,-3250.4
-134,-180,-3292.35
-133,-180,-3333.29
-132,-180,-3373.22
-131,-180,-3412.12
-130,-180,-3449.98
-129,-180,-3486.79
-128,-180,-3522.54
-127,-180,-3557.22
-126,-180,-3590.81
-125,-180,-3623.31
-124,-180,-3654.7
-123,-180,-3684.98
-122,-180,-3714.14
-121,-180,-3742.17
-120,-180,-3769.06
-119,-180,-3794.8
-118,-180,-3819.38
-117,-180,-3842.8
-116,-180,-3865.05
-115,-180,-3886.12
-114,-180,-3906.01
-113,-180,-3924.71
-112,-180,-3942.21
-111,-180,-3958.51
-110,-180,-3973.61
-109,-180,-3987.49
-108,-180,-4000.17
-107,-180,-4011.62
-106,-180,-4021.85
-105,-180,-4030.86
-104,-180,-4038.63
-103,-180,-4045.18
-102,-180,-4050.5
-101,-180,-4054.58
-100,-180,-4057.42
-99,-180,-4059.04
-98,-180,-4059.41
-97,-180,-4058.55
-96,-180,-4056.45
-95,-180,-4053.11
-94,-180,-4048.55
-93,-180,-4042.74
-92,-180,-4035.71
-91,-180,-4027.45
-90,-180,-4017.96
-89,-180,-4007.24
-88,-180,-3995.31
-87,-180,-3982.16
-86,-180,-3967.79
-85,-180,-3952.22
-84,-180,-3935.45
-83,-180,-3917.47
-82,-180,-3898.3
-81,-180,-3877.94
-80,-180,-3856.41
-79,-180,-3833.7
