Phi[deg],Theta[deg],im(rEPhi)[mV]
-15,-71,-2104.19
-14,-71,-2265.38
-13,-71,-2419.02
-12,-71,-2564.9
-11,-71,-2702.84
-10,-71,-2832.7
-9,-71,-2954.31
-8,-71,-3067.53
-7,-71,-3172.26
-6,-71,-3268.37
-5,-71,-3355.78
-4,-71,-3434.41
-3,-71,-3504.18
-2,-71,-3565.05
-1,-71,-3616.97
0,-71,-3659.92
1,-71,-3693.88
2,-71,-3718.86
3,-71,-3734.88
4,-71,-3741.97
5,-71,-3740.19
6,-71,-3729.6
7,-71,-3710.3
8,-71,-3682.39
9,-71,-3646
10,-71,-3601.29
11,-71,-3548.43
12,-71,-3487.62
13,-71,-3419.07
14,-71,-3343.05
15,-71,-3259.81
16,-71,-3169.67
17,-71,-3072.95
18,-71,-2969.99
19,-71,-2861.19
20,-71,-2746.94
21,-71,-2627.67
22,-71,-2503.86
23,-71,-2375.96
24,-71,-2244.5
25,-71,-2109.98
26,-71,-1972.96
27,-71,-1833.99
