"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.50042,2.46447198806668,22.8628078917195
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.50542,2.88135086157708,24.1153593931654
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.51042,3.41246058260068,25.5592393754654
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.51542,4.10328190081006,27.241150908586
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.52042,5.02408501678884,29.2224450996295
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.52542,6.28762941590106,31.5832956372348
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.53042,8.08271887597586,34.4250219775741
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.53542,10.7402623942426,37.8609532957681
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.54042,14.8653174880857,41.9593507666502
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.54542,21.582124752241,46.503025933889
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.55042,32.7816314857856,50.1057181401918
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.55542,49.8328802243451,47.8300708583279
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.56042,65.5895536686506,31.6041168822462
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.56542,64.1266138954561,9.71967846713771
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.57042,53.6385546926592,1.01263990933264
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.57542,50.0157242570993,0.733456540776867
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.58042,54.0399306602473,-3.5587721718157
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.58542,54.3195432800409,-17.4054682060031
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.59042,42.908769451693,-29.1447692882909
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.59542,29.5182833968696,-31.1796324956612
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.60042,20.1707606707318,-28.3912360929845
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.60542,14.3385716652816,-24.6244719600961
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.61042,10.6535843819615,-21.1168414399254
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.61542,8.22481594250415,-18.1149874765244
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.62042,6.55179757228379,-15.594442346262
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.62542,5.35340237605151,-13.4753546638292
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.63042,4.46603947462001,-11.6794915538664
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.63542,3.79042651184464,-10.142355387758
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.64042,3.26382630055079,-8.81333610223194
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.64542,2.84512411364139,-7.65321432359629
100,0,0,33.3077,33.5481,0,1.524,15.07,19,94.5863,0.65,2.05,95.5701,1.65042,2.50649531181527,-6.6315526971158
