"Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
1.50042,2.4140243788915,22.724822834524
1.50542,2.8174695897118,23.953224460003
1.51042,3.32997493274888,25.3671182150969
1.51542,3.99435524878966,27.0113968171933
1.52042,4.87641815905364,28.9450060561373
1.52542,6.08113863231291,31.245113190146
1.53042,7.78313215908748,34.0100096425553
1.53542,10.2863522662994,37.3528711476944
1.54042,14.1434732381503,41.3563121201337
1.54542,20.3825076733901,45.8758091073719
1.55042,30.7858550691683,49.8022485881142
1.55542,47.0713531063439,48.9117829409518
1.56042,64.0863789716939,34.9251204421732
1.56542,65.4410531094585,12.3830192453226
1.57042,54.9962899475703,1.53650929256536
1.57542,50.0337019320494,0.812307922718716
1.58042,53.4242809911571,-2.2912493782021
1.58542,55.1393036085722,-15.1668962798782
1.59042,44.9906390922223,-28.1276740427332
1.59542,31.2447606571904,-31.3414844421805
1.60042,21.2755492347055,-28.9163704434139
1.60542,15.0272823741637,-25.1688929053008
1.61042,11.0981580990925,-21.593556255915
1.61542,8.52508156709393,-18.5150934320143
1.62042,6.76331538317315,-15.9278881735875
1.62542,5.50788211877506,-13.7544967818961
1.63042,4.58233114960914,-11.9150886445804
1.63542,3.8802126399728,-10.342982972279
1.64042,3.33463030737789,-8.98565522356336
1.64542,2.9019585981819,-7.80237755055242
1.65042,2.55280089173714,-6.7615633528251
