"Freq [GHz]","re(ActiveZ(Wave_Port1:1)) []","im(ActiveZ(Wave_Port1:1)) []"
1.50042,1.03056701237724,17.0137241709079
1.50542,1.13808006691365,17.556400865933
1.51042,1.26327829425365,18.1495722799267
1.51542,1.41023386338369,18.8011985774592
1.52042,1.58426092825756,19.5209833022614
1.52542,1.79239932206872,20.3208653760305
1.53042,2.04413266400655,21.2156795611968
1.53542,2.35247953223,22.224050323759
1.54042,2.73569488512908,23.3696077840057
1.54542,3.2200003362192,24.6826395462232
1.55042,3.84410742710774,26.202299967873
1.55542,4.66697934792917,27.9794213228706
1.56042,5.7816645018142,30.0795814127445
1.56542,7.34093002309638,32.5846141065667
1.57042,9.60642432738131,35.5855752374686
1.57542,13.0442558174658,39.1420314253949
1.58042,18.499273670942,43.1190468339855
1.58542,27.3936027425927,46.6108904061205
1.59042,41.1006070621425,46.3402271121905
1.59542,56.0329389412859,35.8039305406584
1.60042,59.3510376097298,17.105280015437
1.60542,51.6041331199663,6.5668295484916
1.61042,47.1803095603347,5.49185355482611
1.61542,50.5895583320558,3.91787159684999
1.62042,55.5053926228478,-6.59386092797702
1.62542,49.950326671616,-21.8638495042656
1.63042,36.5876469788836,-29.1318538818366
1.63542,25.1165700227987,-28.679723281866
1.64042,17.5723534227833,-25.5215395166155
1.64542,12.8048489825365,-22.0318174653823
1.65042,9.71033835050322,-18.8906517315267
