"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Phi [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-100,-32.8638449642059,-4.73452519721587
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-99,-32.5686611702438,-4.5427557516612
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-98,-32.0010347254543,-4.37627031003491
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-97,-31.370893148397,-4.2345398720922
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-96,-30.8002686498938,-4.11710855345584
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-95,-30.3462100814817,-4.02359206091694
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-94,-30.0325097382131,-3.95367609970929
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-93,-29.869518630849,-3.90711490801322
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-92,-29.8644574868737,-3.88373004455866
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-91,-30.02696456486,-3.88340950886225
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-90,-30.372993949337,-3.90610724215257
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-89,-30.9291103544527,-3.95184303462446
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-88,-31.7392851090607,-4.02070284699091
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-87,-32.878003491975,-4.11283953780012
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-86,-34.4794224205555,-4.22847396927463
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-85,-36.8142141014636,-4.36789643977569
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-84,-40.5523534274628,-4.5314683557175
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-83,-48.1922024236886,-4.7196240034515
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-82,-49.8506935810706,-4.93287220312592
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-81,-40.1955449950475,-5.1717975082616
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-80,-35.3209709655872,-5.43706043653975
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-79,-32.02129735187,-5.72939594859057
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-78,-29.5026137357425,-6.04960898632346
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-77,-27.454626195629,-6.39856527080347
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-76,-25.7239337118077,-6.77717463660043
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-75,-24.2233254743744,-7.18636278727903
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-74,-22.8983751634175,-7.6270252628981
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-73,-21.7127676696561,-8.09995428262811
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-72,-20.6410210002806,-8.60572451473987
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-71,-19.6645383025004,-9.14451719412241
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-70,-18.769313473299,-9.71585289325682
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-69,-17.9445225324546,-10.318191801553
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-68,-17.1816191433086,-10.9483487057397
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-67,-16.4737317135622,-11.6006652041382
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-66,-15.8152485596803,-12.265902326098
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-65,-15.2015245602534,-12.929900684747
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-64,-14.628668710074,-13.5722636638246
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-63,-14.0933869874728,-14.1657043351778
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-62,-13.5928639262468,-14.6771766449395
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-61,-13.1246718307946,-15.0720415258507
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-60,-12.6867000974093,-15.3214815329577
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-59,-12.2770994000532,-15.4108998318801
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-58,-11.8942370274004,-15.344908265996
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-57,-11.5366606961386,-15.1456861520512
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-56,-11.2030688834299,-14.8458102403856
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-55,-10.8922862258632,-14.4798536931102
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-54,-10.6032428918032,-14.078393188846
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-53,-10.3349570936514,-13.6653966213225
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-52,-10.0865200961147,-13.2580944640374
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-51,-9.85708321644307,-12.8680540287177
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-50,-9.64584641673268,-12.5025567062197
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-49,-9.45204816665028,-12.1658411716352
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-48,-9.2749563143455,-11.860075006945
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-47,-9.11385974905989,-11.5860584197386
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-46,-8.96806067491696,-11.3437115712805
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-45,-8.83686734465866,-11.1324024361067
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-44,-8.7195871272123,-10.9511627374778
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-43,-8.61551980612458,-10.798827454754
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-42,-8.52395102909678,-10.6741229538568
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-41,-8.44414585401511,-10.5757208894419
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-40,-8.37534236585778,-10.5022694239287
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-39,-8.3167453734859,-10.4524094716567
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-38,-8.26752023726359,-10.4247811021844
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-37,-8.22678692909639,-10.418023532912
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-36,-8.19361448667356,-10.4307710270819
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-35,-8.16701609338437,-10.4616462962941
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-34,-8.14594509306745,-10.5092525577937
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-33,-8.12929233093195,-10.5721651300056
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-32,-8.11588529244647,-10.6489233074768
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-31,-8.10448958120743,-10.7380231986978
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-30,-8.09381332161138,-10.8379122075937
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-29,-8.0825150759923,-10.9469858671814
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-28,-8.06921580991124,-11.0635877685401
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-27,-8.05251530484782,-11.1860133452782
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-26,-8.03101319008121,-11.3125182464899
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-25,-8.00333443982363,-11.4413319319969
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-24,-7.96815876755298,-11.570676926451
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-23,-7.924252876821,-11.698793854692
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-22,-7.87050404829319,-11.8239719447967
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-21,-7.80595312671347,-11.94458414463
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-20,-7.72982469808617,-12.0591253974102
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-19,-7.64155218903719,-12.1662520358937
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-18,-7.54079582403656,-12.2648197797609
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-17,-7.42745184712672,-12.3539175597137
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-16,-7.30165210826511,-12.4328944309294
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-15,-7.16375393997814,-12.5013772218135
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-14,-7.01432108881752,-12.5592772737859
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-13,-6.85409719624336,-12.60678557966
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-12,-6.68397384670238,-12.6443566841636
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-11,-6.50495546145987,-12.6726827085991
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-10,-6.31812330994839,-12.6926596541404
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-9,-6.1246006751863,-12.705348622613
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-8,-5.9255208146911,-12.711934732414
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-7,-5.72199888245643,-12.7136863279824
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-6,-5.5151084941936,-12.7119166603445
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-5,-5.30586318330178,-12.7079496545017
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-4,-5.09520264341939,-12.7030907772164
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-3,-4.88398339872709,-12.6986034578671
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-2,-4.67297338295865,-12.695691049339
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-1,-4.46284982932551,-12.6954839706114
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,0,-4.25419985817618,-12.6990314493991
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,1,-4.04752317821558,-12.7072971675387
